movie_id,title,tags,kmeans_cluster
19995,Avatar,"['22nd', 'century', 'paraplegic', 'marine', 'dispatched', 'moon', 'pandora', 'unique', 'mission', 'becomes', 'torn', 'following', 'orders', 'protecting', 'alien', 'civilization', 'action', 'adventure', 'fantasy', 'sciencefiction', 'cultureclash', 'future', 'spacewar', 'spacecolony', 'society', 'spacetravel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alienplanet', 'cgi', 'marine', 'soldier', 'battle', 'loveaffair', 'antiwar', 'powerrelations', 'mindandsoul', '3d', 'samworthington', 'zoesaldana', 'sigourneyweaver', 'jamescameron', 'avatar']",3
285,Pirates of the Caribbean: At World's End,"['captain', 'barbossa', 'long', 'believed', 'dead', 'come', 'back', 'life', 'headed', 'edge', 'earth', 'turner', 'elizabeth', 'swann', 'nothing', 'quite', 'seems', 'adventure', 'fantasy', 'action', 'ocean', 'drugabuse', 'exoticisland', 'eastindiatradingcompany', 'loveofoneslife', 'traitor', 'shipwreck', 'strongwoman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger', 'johnnydepp', 'orlandobloom', 'keiraknightley', 'goreverbinski', 'piratesofthecaribbeanatworldsend']",3
206647,Spectre,"['cryptic', 'message', 'bonds', 'past', 'sends', 'trail', 'uncover', 'sinister', 'organization', 'battles', 'political', 'forces', 'keep', 'secret', 'service', 'alive', 'bond', 'peels', 'back', 'layers', 'deceit', 'reveal', 'terrible', 'truth', 'behind', 'spectre', 'action', 'adventure', 'crime', 'spy', 'basedonnovel', 'secretagent', 'sequel', 'mi6', 'britishsecretservice', 'unitedkingdom', 'danielcraig', 'christophwaltz', 'laseydoux', 'sammendes', 'spectre']",2
49026,The Dark Knight Rises,"['following', 'death', 'district', 'attorney', 'harvey', 'dent', 'batman', 'assumes', 'responsibility', 'dents', 'crimes', 'protect', 'late', 'attorneys', 'reputation', 'subsequently', 'hunted', 'gotham', 'city', 'police', 'department', 'eight', 'years', 'later', 'batman', 'encounters', 'mysterious', 'selina', 'kyle', 'villainous', 'bane', 'new', 'terrorist', 'leader', 'overwhelms', 'gothams', 'finest', 'dark', 'knight', 'resurfaces', 'protect', 'city', 'branded', 'enemy', 'action', 'crime', 'drama', 'thriller', 'dccomics', 'crimefighter', 'terrorist', 'secretidentity', 'burglar', 'hostagedrama', 'timebomb', 'gothamcity', 'vigilante', 'coverup', 'superhero', 'villainess', 'tragichero', 'terrorism', 'destruction', 'catwoman', 'catburglar', 'imax', 'flood', 'criminalunderworld', 'batman', 'christianbale', 'michaelcaine', 'garyoldman', 'christophernolan', 'thedarkknightrises']",2
49529,John Carter,"['john', 'carter', 'warweary', 'former', 'military', 'captain', 'whos', 'inexplicably', 'transported', 'mysterious', 'exotic', 'planet', 'barsoom', 'mars', 'reluctantly', 'becomes', 'embroiled', 'epic', 'conflict', 'world', 'brink', 'collapse', 'carter', 'rediscovers', 'humanity', 'realizes', 'survival', 'barsoom', 'people', 'rests', 'hands', 'action', 'adventure', 'sciencefiction', 'basedonnovel', 'mars', 'medallion', 'spacetravel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgarriceburroughs', 'alienrace', 'superhumanstrength', 'marscivilization', 'swordandplanet', '19thcentury', '3d', 'taylorkitsch', 'lynncollins', 'samanthamorton', 'andrewstanton', 'johncarter']",3
559,Spider-Man 3,"['seemingly', 'invincible', 'spiderman', 'goes', 'allnew', 'crop', 'villain', 'including', 'shapeshifting', 'sandman', 'spidermans', 'superpowers', 'altered', 'alien', 'organism', 'alter', 'ego', 'peter', 'parker', 'deals', 'nemesis', 'eddie', 'brock', 'also', 'gets', 'caught', 'love', 'triangle', 'fantasy', 'action', 'adventure', 'dualidentity', 'amnesia', 'sandstorm', 'loveofoneslife', 'forgiveness', 'spider', 'wretch', 'deathofafriend', 'egomania', 'sand', 'narcism', 'hostility', 'marvelcomic', 'sequel', 'superhero', 'revenge', 'tobeymaguire', 'kirstendunst', 'jamesfranco', 'samraimi', 'spiderman', '3']",3
38757,Tangled,"['kingdoms', 'wantedand', 'charmingbandit', 'flynn', 'rider', 'hides', 'mysterious', 'tower', 'hes', 'taken', 'hostage', 'rapunzel', 'beautiful', 'feisty', 'towerbound', 'teen', '70', 'feet', 'magical', 'golden', 'hair', 'flynns', 'curious', 'captor', 'whos', 'looking', 'ticket', 'tower', 'shes', 'locked', 'away', 'years', 'strikes', 'deal', 'handsome', 'thief', 'unlikely', 'duo', 'sets', 'actionpacked', 'escapade', 'complete', 'supercop', 'horse', 'overprotective', 'chameleon', 'gruff', 'gang', 'pub', 'thugs', 'animation', 'family', 'hostage', 'magic', 'horse', 'fairytale', 'musical', 'princess', 'animation', 'tower', 'blondewoman', 'selfishness', 'healingpower', 'basedonfairytale', 'duringcreditsstinger', 'healinggift', 'animalsidekick', 'zacharylevi', 'mandymoore', 'donnamurphy', 'byronhoward', 'tangled']",3
99861,Avengers: Age of Ultron,"['tony', 'stark', 'tries', 'jumpstart', 'dormant', 'peacekeeping', 'program', 'things', 'go', 'awry', 'earths', 'mightiest', 'heroes', 'put', 'ultimate', 'test', 'fate', 'planet', 'hangs', 'balance', 'villainous', 'ultron', 'emerges', 'avengers', 'stop', 'enacting', 'terrible', 'plans', 'soon', 'uneasy', 'alliances', 'unexpected', 'action', 'pave', 'way', 'epic', 'unique', 'global', 'adventure', 'action', 'adventure', 'sciencefiction', 'marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'vision', 'superheroteam', 'duringcreditsstinger', 'marvelcinematicuniverse', '3d', 'robertdowneyjr', 'chrishemsworth', 'markruffalo', 'josswhedon', 'avengersageofultron']",3
767,Harry Potter and the Half-Blood Prince,"['harry', 'begins', 'sixth', 'year', 'hogwarts', 'discovers', 'old', 'book', 'marked', 'property', 'halfblood', 'prince', 'begins', 'learn', 'lord', 'voldemorts', 'dark', 'past', 'adventure', 'fantasy', 'family', 'witch', 'magic', 'broom', 'schoolofwitchcraft', 'wizardry', 'apparition', 'teenagecrush', 'werewolf', 'danielradcliffe', 'rupertgrint', 'emmawatson', 'davidyates', 'harrypotterandthehalfbloodprince']",3
209112,Batman v Superman: Dawn of Justice,"['fearing', 'actions', 'godlike', 'super', 'hero', 'left', 'unchecked', 'gotham', 'citys', 'formidable', 'forceful', 'vigilante', 'takes', 'metropoliss', 'revered', 'modernday', 'savior', 'world', 'wrestles', 'sort', 'hero', 'really', 'needs', 'batman', 'superman', 'war', 'one', 'another', 'new', 'threat', 'quickly', 'arises', 'putting', 'mankind', 'greater', 'danger', 'ever', 'known', 'action', 'adventure', 'fantasy', 'dccomics', 'vigilante', 'superhero', 'basedoncomicbook', 'revenge', 'superpowers', 'clarkkent', 'brucewayne', 'dcextendeduniverse', 'benaffleck', 'henrycavill', 'galgadot', 'zacksnyder', 'batmanvsupermandawnofjustice']",3
